GDI Rank,Country,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male)
40,Argentina,0.982,0.819,0.834,80.1,72.4,19.1,16.8,9.8,9.8,14202,30237
2,Australia,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688,50914
23,Austria,0.943,0.856,0.909,83.8,78.8,16.1,15.4,9.9,11.9,29598,58826
78,Azerbaijan,0.942,0.721,0.766,74,67.7,11.8,12,10.5,11.2,10120,22814
50,Belarus,1.021,0.806,0.789,77.2,65.5,16.2,15.1,11.9,12.1,12922,21010
21,Belgium,0.975,0.872,0.895,83.2,78.3,16.7,16,10.6,11.1,31879,50845
85,Bosnia and Herzegovina,..,..,..,79,74,..,..,6.6,8.6,6514,12912
75,Brazil,0.997,0.752,0.754,78.3,70.7,15.6,14.8,7.8,7.5,11393,19084
59,Bulgaria,0.991,0.777,0.784,77.7,70.8,14.6,14.1,10.6,10.4,12448,18926
9,Canada,0.982,0.904,0.921,84,80,16.3,15.5,13.1,13,33587,50853
42,Chile,0.967,0.815,0.843,84.5,78.6,15.5,15,9.7,9.9,14732,27992
97,Colombia,0.997,0.719,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785,14372
47,Croatia,0.987,0.812,0.823,80.6,74,15.4,14.2,10.5,11.6,16200,22853
32,Cyprus,0.971,0.836,0.861,82.4,78,14.2,13.8,11.4,11.8,22613,34400
4,Denmark,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439,51727
108,Egypt,0.868,0.633,0.729,73.4,69,13.3,13.8,5.4,7.7,4928,16049
30,Estonia,1.03,0.872,0.847,81.3,72,17.4,15.6,12.7,12.2,20854,30254
24,Finland,0.996,0.879,0.882,83.6,78,17.7,16.5,10.2,10.2,31644,45994
22,France,0.987,0.881,0.893,85.1,79.2,16.4,15.6,11,11.3,31073,45497
76,Georgia,0.962,0.736,0.765,78.4,71.2,14,13.6,12,12.3,4887,9718
6,Germany,0.963,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886,53290
29,Greece,0.961,0.844,0.879,83.8,78,17.7,17.6,9.8,10.5,17288,31952
44,Hungary,0.976,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443,28960
16,Iceland,0.975,0.886,0.909,84,81,20.1,17.9,10.8,10.4,28792,41486
130,India,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,2116,8656
110,Indonesia,0.927,0.655,0.706,71,66.9,13.1,12.9,7,8.2,6485,13052
6,Ireland,0.973,0.901,0.926,83,78.8,18.5,18.7,12.3,12,30104,49166
18,Israel,0.971,0.879,0.905,84.1,80.5,16.5,15.5,12.5,12.6,22451,39064
27,Italy,0.964,0.851,0.883,85.5,80.6,16.5,15.6,9.5,10.2,22526,44148
20,Japan,0.961,0.87,0.905,86.7,80.2,15.2,15.5,11.3,11.7,24975,49541
80,Jordan,0.86,0.674,0.784,75.8,72.4,13.7,13.3,9.3,10.5,3587,18831
56,Kazakhstan,1.002,0.787,0.785,74.1,64.6,15.4,14.7,11.3,11.5,15408,26746
48,Kuwait,0.972,0.793,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292,111988
67,Lebanon,0.899,0.718,0.8,81.3,77.6,13.6,13.9,7.6,8.2,7334,25391
37,Lithuania,1.03,0.851,0.827,78.9,67.7,16.9,15.9,12.3,12.5,20955,28656
62,Malaysia,0.947,0.753,0.795,77.1,72.4,12.7,12.7,9.4,10.1,15635,30320
74,Mexico,0.943,0.731,0.775,79.2,74.4,13.2,12.9,8.2,8.8,10233,22252
126,Morocco,0.828,0.555,0.67,75.1,73,10.6,11.6,3.2,5.3,3222,10573
5,Netherlands,0.947,0.893,0.943,83.3,79.7,18,17.9,11.6,12.2,29500,61641
9,New Zealand,0.961,0.894,0.93,83.6,80,20,18.3,12.5,12.6,24309,41372
1,Norway,0.996,0.94,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140,72825
52,Oman,0.909,0.741,0.815,79.2,75.1,13.9,13.5,7,8.5,14709,46400
147,Pakistan,0.726,0.436,0.601,67.2,65.3,7,8.5,3.1,6.2,1450,8100
